,title,price,num_sold,shipping_type,condition,condition_description,num_reviews,pos_feedback_pct,return_days
0,apple iphone 7 plus (excellent condition) factory unlocked verizon tmobile at&t ,237.99,19 sold,free 4 day shipping,used,“fully functional in excellent condition. our devices are professionally tested and cleaned to the highest standards. accessories are included. warranty included as well.”,30470.0,99.9,30 days returns
1,apple iphone 8 64gb gsm factory unlocked gray & silver (good condition),149.99,"2,313 sold",free 2 day shipping,good - refurbished,“good overall condition. may have some minor scratches. charger and cable included.”,2703.0,97.2,30 days returns
2,apple iphone 8 64gb gsm factory unlocked smartphone,149.99,"2,419 sold",free 3 day shipping,used,“overall good condition will have marks and scratches - mfi charger included”,13103.0,96.3,30 days returns
3,apple iphone 7 32gb gsm factory unlocked 4g lte ios wifi smartphone,107.99,"6,010 sold",free 3 day shipping,used,“overall good working condition and will have minor marks and scratches - charger included”,13103.0,96.3,30 days returns
4,apple iphone x 64gb factory unlocked phone - very good,209.95,"22,036 sold",free 4 day shipping,very good - refurbished,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332288.0,98.4,60 days returns
5,apple iphone 11 64gb factory unlocked 4g lte smartphone - very good,309.99,"9,047 sold",free 3 day shipping,very good - refurbished,"“this iphone 11 is in very good condition and has been determined fully functional by our industry-leading functionality inspection. it will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. this item will not come in its original packaging but will include a certified cable and ul approved power adapter. headsets, sim card and manual are not included.  this iphone 11 is fully functional with all carrier networks.  it does not come with a sim card, you will need to get one from your carrier of choice.”",67602.0,98.9,60 days returns
6,apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone - very,229.99,"31,462 sold",free 3 day shipping,very good - refurbished,"“this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone has been determined fully functional by our industry leading functionality inspection. it will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. it will not come in its original packaging but will include an mfi certified lightning cable and ul approved power adapter. headsets, sim card and manual are not included. this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone is fully functional with all carrier networks. it does not come with a sim card, you will need to get one from your carrier of choice.”",67602.0,98.9,60 days returns
7,apple iphone x 64gb factory unlocked phone - very good,209.95,"22,036 sold",free 4 day shipping,very good - refurbished,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332288.0,98.4,60 days returns
8,apple iphone 11 64gb factory unlocked 4g lte smartphone - very good,309.99,"9,047 sold",free 3 day shipping,very good - refurbished,"“this iphone 11 is in very good condition and has been determined fully functional by our industry-leading functionality inspection. it will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. this item will not come in its original packaging but will include a certified cable and ul approved power adapter. headsets, sim card and manual are not included.  this iphone 11 is fully functional with all carrier networks.  it does not come with a sim card, you will need to get one from your carrier of choice.”",67602.0,98.9,60 days returns
9,apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone - very,229.99,"31,462 sold",free 3 day shipping,very good - refurbished,"“this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone has been determined fully functional by our industry leading functionality inspection. it will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. it will not come in its original packaging but will include an mfi certified lightning cable and ul approved power adapter. headsets, sim card and manual are not included. this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone is fully functional with all carrier networks. it does not come with a sim card, you will need to get one from your carrier of choice.”",67602.0,98.9,60 days returns
10,apple iphone xs 64gb factory unlocked 4g lte ios smartphone - very good,234.99,"5,391 sold",free 3 day shipping,very good - refurbished,"“this apple iphone xs 64gb factory unlocked 4g lte ios smartphone has been determined fully functional by our industry leading functionality inspection. it will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. it will not come in its original packaging but will include an mfi certified lightning cable and ul approved power adapter. headsets, sim card and manual are not included. this apple iphone xs 64gb factory unlocked 4g lte ios smartphone is fully functional with all carrier networks. it does not come with a sim card, you will need to get one from your carrier of choice.”",67602.0,98.9,60 days returns
11,apple iphone 11 64gb factory unlocked 4g lte smartphone - good,319.99,"3,863 sold",free 3 day shipping,good - refurbished,"“this iphone 11 is in good condition. it is 100% functional but will show signs of use, including scratches and dents on the front, back, and corners of the product. it will not come in its original packaging but will include a certified cable and ul-approved power adapter. headsets, sim card and manual are not included. this iphone 11 is fully functional with all carrier networks.  it does not come with a sim card, you will need to get one from your carrier of choice.”",67602.0,98.9,30 days returns
12,apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone - good,204.99,"3,398 sold",free 3 day shipping,good - refurbished,"“this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone is in used condition. it is 100% functional but will show signs of use, including scratches and dents on the front, back, and corners of the product. it will not come in its original packaging but will include an mfi certified lightning cable and ul approved power adapter. headsets, sim card and manual are not included. this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone is fully functional with all carrier networks. it does not come with a sim card, you will need to get one from your carrier of choice.”",67602.0,98.9,30 days returns
13,apple iphone 8 64gb factory unlocked phone - very good,144.95,"20,132 sold",free 4 day shipping,very good - refurbished,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332288.0,98.4,60 days returns
14,apple iphone x 256gb unlocked smartphone - very good,234.95,"12,808 sold",free 4 day shipping,very good - refurbished,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332288.0,98.4,60 days returns
15,apple iphone xs 64gb factory unlocked 4g lte ios smartphone - very good,234.99,"5,391 sold",free 3 day shipping,very good - refurbished,"“this apple iphone xs 64gb factory unlocked 4g lte ios smartphone has been determined fully functional by our industry leading functionality inspection. it will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. it will not come in its original packaging but will include an mfi certified lightning cable and ul approved power adapter. headsets, sim card and manual are not included. this apple iphone xs 64gb factory unlocked 4g lte ios smartphone is fully functional with all carrier networks. it does not come with a sim card, you will need to get one from your carrier of choice.”",67602.0,98.9,60 days returns
16,apple iphone 11 64gb factory unlocked 4g lte smartphone - grade b+,299.99,60 sold,,used,"“""b stock "" condition: may show signs of wear like multiple scratches (which you can cover if you use a screen protector) , scuffs, and dents, but it does not impair the functionality, includes free charger and cable, 100% fully functional, certified via a 34 point factory inspection, these are unlocked devices a), ships in a generic box, photos are stock photos”",119431.0,99.3,30 days returns
17,apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone - good,204.99,"3,398 sold",free 3 day shipping,good - refurbished,"“this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone is in used condition. it is 100% functional but will show signs of use, including scratches and dents on the front, back, and corners of the product. it will not come in its original packaging but will include an mfi certified lightning cable and ul approved power adapter. headsets, sim card and manual are not included. this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone is fully functional with all carrier networks. it does not come with a sim card, you will need to get one from your carrier of choice.”",67602.0,98.9,30 days returns
18,apple iphone 13 128gb\256gb\512gb a2482 unlocked excellent,669.99,272 sold,,used,"“excellent condition - these phones will appear flawless but upon a closer look there may be subtle signs of use. there may be some signs of use on the screen or on the body of the phone, however, these will be difficult to notice with the naked eye. all phones are fully tested using our 34-point inspection process and are 100% functional.”",39862.0,99.2,30 days returns
19,apple iphone 8 64gb factory unlocked phone - very good,144.95,"20,132 sold",free 4 day shipping,very good - refurbished,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332288.0,98.4,60 days returns
20,apple iphone 8 - 64gb - space gray unlocked cdma + gsm ,149.89,"1,408 sold",free 3 day shipping,used,,56112.0,98.9,30 days returns
21,apple iphone 8 plus 256gb unlocked straight talk tmobile at&t verizon excellent,259.0,,,excellent - refurbished,"““pick your carrier or pick fully unlocked to work with multiple carriers.  all of these iphones have been fully tested by our team of on-site technicians using industry-leading testing software and procedures to guarantee they're in perfect working condition and perform just like brand new phones. we're confident in the quality and condition of these iphones and you can be too, by knowing that we offer a no-risk 30-day warranty””",60971.0,100.0,30 days returns
22,apple iphone 11 - 128gb/64gb - factory unlocked - very good condition -all color,395.0,102 sold,free 4 day shipping,used,"“phones are in excellent cosmetic condition. devices are ready to activate. clean esn. phonecheck certified. please see below for more info(grading,etc). if you have any questions, please do not hesitate to contact us.”",5146.0,99.3,30 days returns
23,apple iphone 8 plus 64gb unlocked metro cricket tmobile at&t verizon - excellent,219.0,618 sold,,excellent - refurbished,"““completely unlocked and compatible with all carriers.  see details below. all of these iphones have been fully tested by our team of on-site technicians using industry-leading testing software and procedures to guarantee they're in perfect working condition and perform just like brand new phones. we're confident in the quality and condition of these iphones and you can be too, by knowing that we offer a no-risk 30-day warranty””",60971.0,100.0,30 days returns
24,apple iphone x 256gb unlocked smartphone - very good,234.95,"12,808 sold",free 4 day shipping,very good - refurbished,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332288.0,98.4,60 days returns
