,price,condition,num_reviews,pos_feedback_pct,return_days,model,capacity,release_year
0,237.99,1.0,30470.0,99.9,2.0,10,78.54110612855007,2016
1,149.99,2.0,2703.0,97.2,2.0,11,64.0,2017
2,149.99,1.0,13103.0,96.3,2.0,11,64.0,2017
3,107.99,1.0,13103.0,96.3,2.0,10,32.0,2016
4,209.95,3.0,332288.0,98.4,3.0,12,64.0,2017
5,309.99,3.0,67602.0,98.9,3.0,15,64.0,2019
6,229.99,3.0,67602.0,98.9,3.0,13,64.0,2018
7,209.95,3.0,332288.0,98.4,3.0,12,64.0,2017
8,309.99,3.0,67602.0,98.9,3.0,15,64.0,2019
9,229.99,3.0,67602.0,98.9,3.0,13,64.0,2018
10,234.99,3.0,67602.0,98.9,3.0,14,64.0,2018
11,319.99,2.0,67602.0,98.9,2.0,15,64.0,2019
12,204.99,2.0,67602.0,98.9,2.0,13,64.0,2018
13,144.95,3.0,332288.0,98.4,3.0,11,64.0,2017
14,234.95,3.0,332288.0,98.4,3.0,12,256.0,2017
15,234.99,3.0,67602.0,98.9,3.0,14,64.0,2018
16,299.99,1.0,119431.0,99.3,2.0,15,64.0,2019
17,204.99,2.0,67602.0,98.9,2.0,13,64.0,2018
18,669.99,1.0,39862.0,99.2,2.0,17,128.0,2021
19,144.95,3.0,332288.0,98.4,3.0,11,64.0,2017
20,149.89,1.0,56112.0,98.9,2.0,11,64.0,2017
21,259.0,4.0,60971.0,100.0,2.0,11,256.0,2017
22,395.0,1.0,5146.0,99.3,2.0,15,128.0,2019
23,219.0,4.0,60971.0,100.0,2.0,11,64.0,2017
24,234.95,3.0,332288.0,98.4,3.0,12,256.0,2017
25,299.99,1.0,39862.0,99.2,2.0,15,124.43806104129264,2019
26,219.95,3.0,332288.0,98.4,3.0,14,64.0,2018
27,219.95,3.0,332288.0,98.4,3.0,11,64.0,2017
28,234.99,5.0,6904.0,99.9,3.0,12,64.0,2017
29,114.99,1.0,13103.0,96.3,2.0,10,128.0,2016
30,309.99,2.0,27605.0,96.8,3.0,15,64.0,2019
32,388.99,5.0,7165.0,100.0,2.0,14,256.0,2018
33,64.99,1.0,7165.0,100.0,2.0,9,32.0,2016
34,299.99,1.0,5134.0,99.6,2.0,14,177.84242424242424,2018
35,349.95,3.0,332288.0,98.4,3.0,15,64.0,2019
36,229.0,3.0,69132.0,95.8,2.0,11,92.72343149807938,2017
37,72.0,1.0,2029.0,95.8,2.0,8,56.774193548387096,2015
38,489.98,3.0,15046.0,98.4,2.0,16,64.0,2020
39,114.0,0.0,5146.0,99.3,2.0,10,32.0,2016
40,434.99,1.0,39862.0,99.2,2.0,16,138.7663551401869,2020
41,200.0,1.0,1.0,100.0,0.0,13,64.0,2018
42,299.95,3.0,332288.0,98.4,3.0,14,64.0,2018
44,199.99,1.0,7053.0,99.9,2.0,11,64.0,2017
45,164.99,5.0,6904.0,99.9,3.0,11,64.0,2017
46,169.0,5.0,60971.0,100.0,2.0,11,64.0,2017
47,228.0,3.0,69132.0,95.8,2.0,12,64.0,2017
48,209.99,1.0,154477.0,98.0,2.0,12,256.0,2017
49,429.0,2.0,29971.0,100.0,2.0,15,124.43806104129264,2019
50,204.99,1.0,47359.0,98.9,2.0,13,64.0,2018
51,394.99,1.0,27605.0,96.8,3.0,15,128.0,2019
52,379.99,1.0,20932.0,97.8,2.0,15,64.0,2019
53,534.95,4.0,332288.0,98.4,3.0,15,256.0,2019
55,700.99,1.0,54735.0,99.4,3.0,16,138.7663551401869,2020
56,164.99,1.0,1941.0,100.0,2.0,9,64.0,2016
57,499.95,3.0,332288.0,98.4,3.0,15,64.0,2019
58,69.99,1.0,1941.0,100.0,2.0,8,32.0,2015
59,229.99,1.0,27605.0,96.8,3.0,11,64.0,2017
60,429.99,1.0,11250.0,100.0,2.0,15,64.0,2019
61,88.99,1.0,54735.0,99.4,3.0,10,32.0,2016
62,249.99,5.0,6904.0,99.9,3.0,13,64.0,2018
63,309.99,1.0,39862.0,99.2,2.0,15,124.43806104129264,2019
64,299.99,2.0,13309.0,96.6,2.0,15,64.0,2019
65,209.95,2.0,332288.0,98.4,3.0,12,64.0,2017
66,156.99,2.0,54735.0,99.4,3.0,11,64.0,2017
67,399.99,4.0,67602.0,98.9,3.0,15,128.0,2019
68,269.99,3.0,67602.0,98.9,3.0,13,128.0,2018
69,218.99,2.0,27605.0,96.8,3.0,13,64.0,2018
70,619.0,3.0,29971.0,100.0,2.0,15,124.43806104129264,2019
71,229.99,3.0,67602.0,98.9,3.0,11,64.0,2017
72,314.88,3.0,17579.0,98.7,2.0,15,124.43806104129264,2019
73,208.99,2.0,10647.0,98.9,2.0,12,64.0,2017
74,224.99,3.0,10647.0,98.9,2.0,13,64.0,2018
75,226.0,2.0,69132.0,95.8,2.0,13,64.0,2018
76,82.99,3.0,2703.0,97.2,2.0,9,65.08936170212766,2016
77,104.99,2.0,122213.0,100.0,2.0,10,32.0,2016
78,549.95,3.0,82193.0,98.4,3.0,16,128.0,2020
79,299.95,2.0,266795.0,99.8,2.0,14,177.84242424242424,2018
80,319.95,3.0,20932.0,97.8,2.0,15,64.0,2019
81,49.99,1.0,1845.0,99.3,2.0,6,20.0,2013
82,407.99,4.0,3099272.0,98.8,2.0,15,64.0,2019
83,88.99,2.0,249010.0,96.5,2.0,7,16.0,2014
84,969.99,3.0,3099272.0,98.8,2.0,16,128.0,2020
85,84.99,3.0,2703.0,97.2,2.0,8,56.774193548387096,2015
86,359.0,4.0,2389.0,99.2,2.0,15,64.0,2019
87,249.0,4.0,60971.0,100.0,2.0,12,256.0,2017
88,409.95,2.0,266795.0,99.8,2.0,15,124.43806104129264,2019
89,244.95,3.0,82193.0,98.4,3.0,13,64.0,2018
90,459.95,4.0,332288.0,98.4,3.0,15,64.0,2019
