,sold_title,sold_price,sold_shipping_type,sold_condition,sold_num_reviews
0,,,,,
1,Apple iPhone XR - 256 Gb - coral unlocked excellent condition,279.99,,Used,2732.0
2,Apple iPhone XS Max - 256GB - Space Gray (Unlocked) A1921 (CDMA + GSM),240.0,,For parts or not working,2209.0
3,Apple iPhone 12 Pro Max - 128GB - Gold (Unlocked),700.0,,Used,289.0
4,🔥🔥🔥 Lot of 10 UNTESTED Apple iPhone 5c 🔥🔥🔥 - [For Parts and Repair] ,,,For parts or not working,2021.0
5,🔥🔥🔥 Lot of 10 UNTESTED Apple iPhone 5c 🔥🔥🔥 - [For Parts and Repair] ,,,For parts or not working,2021.0
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,Apple iPhone 12 Pro Max 128GB Xfinity Locked Very Great Condition,,,Used,455.0
12,UNLOCKED APPLE IPHONE 11 64GB MWHV2LL/A 15.4.1 RED - CLEAN *READ*,319.99,,Used,52971.0
13,,,,,
14,,,,,
15,,,,,
16,Apple iPhone SE (3rd Generation),250.0,,New,258.0
17,,,,,
18,,,,,
19,,209.99,,,
20,Apple iPhone 6 Space Gray 16GB (Unlocked); MG4N2LL/A Model A1599 BOX & EAR PODS,45.0,,Used,1085.0
21,Apple iPhone 8 64GB Unlocked Space Gray - Cracked & Broken Camera,70.0,,For parts or not working,1244.0
22,,,,,
23,Apple iPhone 13 - 128GB - Blue (Unlocked) PLZ Read,449.95,,For parts or not working,277.0
24,,,,,
25,,,,,
26,,,,,
27,Apple iPhone 6 - 64GB - Space Gray - AT&T (X13),,,Used,1050.0
28,Apple iPhone 11 Pro - 64GB (Unlocked) - Works Great - (#7007),332.99,,Used,5434.0
29,,,,,
30,,,,,
31,,,,,
32,Apple iPhone 6 Plus (A1522) 64GB - Gray (AT&T) - *BENT* - Clean IMEI J1409,65.99,,Used,35700.0
33,,,,,
34,,,,,
35,,,,,
36,"Lot of. Mixed Phones Tablet, iPads iphone - For Parts - Samsung, LG, Apple,",85.95,,For parts or not working,0.0
37,,,,,
38,GOOD!!! Apple iPhone 5 Black 32GB 4G LTE VERIZON Smartphone A1429 MD658LL/A,35.0,,Used,18835.0
39,Apple iPhone XS 64GB Space Gray (Unlocked) A1920 Very Good,234.98,,Used,301.0
40,,,,,
41,,,,,
42,,,,,
43,Apple iPhone 11 - Black - 64GB (Total Wireless/Straight Talk) - Brand new sealed,359.99,,New,2282.0
44,,,,,
45,,,,,
46,iPhone SE 2nd Gen 256GB Black(Unlocked) A2275 Comes W/Verizon Wireless Charger,210.0,,Used,110.0
47,Apple iPhone XS Max - 512GB - Gold (Verizon) A1921 (CDMA + GSM) Unlocked,362.0,,Used,498.0
48,Apple iPhone 12 - 64GB - Blue (Unlocked) Face ID Doesn’t Work GSM GOOD IMEI,300.0,,For parts or not working,272.0
49,,,,,
50,,,,,
51,,,,,
52,Apple iPhone 5S A1533 ME342LL//A 16GB white Reset AT&T ICL,,,For parts or not working,11197.0
53,,,,,
54,Red T-Mobile iPhone SE 2nd Gen 64GB - CLEAN ESN! CRACKED BACK! READ!!,129.99,,For parts or not working,152.0
55,Apple iPhone XS Max - 512GB - Space Gray (T-Mobile) A1921 (CDMA + GSM) MINT,329.0,,Used,991.0
56,,,,,
